,Weekday Entries 0-4 am,Weekday Entries 4-8 am,Weekday Entries 8-12 pm,Weekday Entries 12-4 pm,Weekday Entries 4-8 pm,Weekday Entries 8-12 am,Weekend Entries 0-4 am,Weekend Entries 4-8 am,Weekend Entries 8-12 pm,Weekend Entries 12-4 pm,Weekend Entries 4-8 pm,Weekend Entries 8-12 am,Weekday Exits 0-4 am,Weekday Exits 4-8 am,Weekday Exits 8-12 pm,Weekday Exits 12-4 pm,Weekday Exits 4-8 pm,Weekday Exits 8-12 am,Weekend Exits 0-4 am,Weekend Exits 4-8 am,Weekend Exits 8-12 pm,Weekend Exits 12-4 pm,Weekend Exits 4-8 pm,Weekend Exits 8-12 am
59 ST,1334,7154,15292,16655,32353,9690,1729,2836,7722,11858,13198,6933,1023,9265,22857,11622,13282,4658,1227,2596,7662,9183,7737,4455
5 AV/59 ST,586,418,1601,5140,7053,3698,35,269,1176,3201,4183,2363,148,3138,4502,2664,1794,671,31,899,2346,2693,1597,523
57 ST-7 AV,844,1143,5044,6823,16815,6667,1443,530,3683,5710,7537,5341,188,3018,9527,3837,4076,1456,396,1412,3465,4347,3981,1892
49 ST,828,644,3515,4610,12580,5889,1407,417,2524,3662,5066,4878,277,3272,8810,4177,5217,1785,519,967,2642,3721,4199,2437
TIMES SQ-42 ST,3678,5648,14784,17593,46960,21404,6971,2051,8056,13184,18318,19381,1060,9217,36515,17590,23524,7140,1887,3169,11545,17807,21419,11937
34 ST-HERALD SQ,1920,7155,22760,23330,54582,18306,4188,2007,8461,18815,26120,16969,818,10884,40329,22412,31644,8665,1957,3657,15420,19999,17422,12104
28 ST,1244,3285,8046,11897,20380,8472,978,920,3319,5555,5596,3507,506,6398,14427,10044,10632,3967,462,1853,5238,6456,5758,3723
23 ST,2255,6584,21184,26511,49864,19887,2621,1492,7175,17588,19079,9802,885,11033,30940,18783,22032,7148,1044,3002,10235,14774,10330,5364
14 ST-UNION SQ,4198,8133,13823,23543,36586,21264,2538,2563,8734,19431,21917,15620,1517,14423,23899,20760,20711,9021,799,4031,13375,18995,16449,9048
8 ST-NYU,421,810,3963,3011,5738,3150,1336,350,1304,3400,4092,3111,151,624,3219,2234,4229,1423,474,280,1777,2767,3038,2129
PRINCE ST,198,261,1875,3213,6459,2341,580,151,950,3933,5424,2577,123,842,4699,3321,4005,809,271,415,2988,4650,3928,1412
CANAL ST,1738,2370,9986,18063,32177,12634,1174,1197,5868,15316,17335,9683,685,6787,22197,13273,10675,3873,573,2544,10177,12297,9791,4531
CITY HALL,62,189,1203,1992,3803,882,105,52,470,1381,1178,695,13,593,1878,927,696,273,30,98,537,604,489,152
CORTLANDT ST,313,1522,2610,4307,7950,3145,117,522,2183,5038,5388,2729,177,3543,4274,3002,3192,1349,126,502,2061,3286,2696,1409
RECTOR ST,118,882,4112,3662,7786,1385,291,297,1933,3414,3709,1468,81,1016,4005,1596,1827,726,159,231,1089,1320,1151,925
WHITEHALL S-FRY,304,1929,2645,4637,7431,2757,173,867,2224,4470,5265,2461,360,4392,5842,4125,3401,1514,306,1140,3722,4269,3149,1869
DELANCEY/ESSEX,1032,3868,4672,5945,6147,3717,1243,1374,3014,4842,4937,3864,539,2818,3544,3757,4922,2602,478,1192,2895,3797,3820,2922
BOWERY,232,137,532,754,1341,786,473,98,324,867,1241,824,40,234,898,548,752,261,143,183,854,887,810,472
CHAMBERS ST,646,2440,9727,15384,31465,7033,1145,744,2877,7098,7235,4322,367,6936,22172,10132,8838,2427,846,1271,7671,8627,6969,3385
FULTON ST,1888,7599,13785,22998,40018,14728,423,1208,3959,8100,9527,5933,1385,17372,29696,15789,14438,6032,329,1545,4405,5446,5098,2860
BROAD ST,176,240,613,1927,3769,1501,87,135,475,994,1258,723,31,937,1078,560,240,129,48,160,467,514,312,179
